step,buffer,mse,ready,delta_mae,delta_mae_x,delta_mae_v,delta_mae_th,delta_mae_om,reward_mae,plan_pred_err,plan_count
0,1000,0.027474,False,0.100792,0.010723,0.075448,0.194081,0.122917,0.001900,0.281104,0
0,2000,0.023588,False,0.098212,0.010523,0.080023,0.183301,0.119001,0.005790,0.280562,0
0,3000,0.023793,False,0.103140,0.010909,0.077811,0.198292,0.125547,0.004839,0.288010,0
0,4000,0.019076,True,0.100615,0.011854,0.079690,0.191770,0.119148,0.008984,0.282813,0
0,4000,0.021469,False,0.084053,0.009693,0.071746,0.145073,0.109699,0.016288,0.253598,0
0,4000,0.021849,False,0.090814,0.010744,0.070344,0.171028,0.111138,0.000488,0.257618,0
0,4000,0.019814,True,0.099091,0.012364,0.071312,0.192850,0.119837,0.016279,0.273927,0
0,4000,0.018591,True,0.090689,0.010981,0.072879,0.167007,0.111890,0.009199,0.261591,0
0,4000,0.014342,True,0.092609,0.012951,0.075800,0.171650,0.110034,0.016325,0.265772,0
0,4000,0.018250,True,0.088815,0.013873,0.069948,0.167494,0.103946,0.007401,0.251518,0
0,4000,0.021330,False,0.079373,0.012104,0.061158,0.160848,0.083381,0.012573,0.212007,0
576,4000,0.016066,True,0.082025,0.017814,0.059245,0.165251,0.085789,0.013672,0.219937,576
1107,4000,0.020706,False,0.084243,0.021695,0.069380,0.158053,0.087845,0.008638,0.239082,1107
1568,4000,0.015744,True,0.079033,0.019120,0.052318,0.169706,0.074987,0.008456,0.199809,1568
2168,4000,0.016028,True,0.079724,0.015739,0.060553,0.156430,0.086174,0.003773,0.218642,2168
2716,4000,0.020752,False,0.090767,0.016503,0.064752,0.183972,0.097842,0.017532,0.242271,2716
3036,4000,0.015359,True,0.082797,0.012934,0.063897,0.163059,0.091298,0.009598,0.226553,3036
3337,4000,0.021666,False,0.083340,0.026984,0.069307,0.165745,0.071323,0.006765,0.225489,3337
3811,4000,0.016966,True,0.091122,0.025268,0.072661,0.178518,0.088040,0.000281,0.249853,3811
4411,4000,0.018317,True,0.091865,0.024916,0.080933,0.176620,0.084989,0.016113,0.255759,4411
4411,4000,0.012875,True,0.085324,0.033072,0.076068,0.158629,0.073525,0.001381,0.243255,4411
5011,4000,0.017714,True,0.082758,0.023551,0.066019,0.161985,0.079478,0.016686,0.227059,5011
5611,4000,0.014084,True,0.082354,0.026441,0.070001,0.155613,0.077358,0.016113,0.232190,5611
6211,4000,0.019427,True,0.085625,0.024245,0.059609,0.182089,0.076557,0.016299,0.218330,6211
6679,4000,0.018098,True,0.078476,0.024419,0.064250,0.148321,0.076913,0.007561,0.221256,6679
7168,4000,0.017222,True,0.089345,0.026426,0.075976,0.180281,0.074695,0.006994,0.238891,7168
7652,4000,0.015030,True,0.088130,0.029901,0.080143,0.170152,0.072325,0.008356,0.244246,7652
8252,4000,0.018628,True,0.078179,0.024326,0.069119,0.156909,0.062363,0.009277,0.209941,8252
8468,4000,0.024770,False,0.092348,0.030124,0.085570,0.184185,0.069514,0.007466,0.249252,8468
8922,4000,0.014413,True,0.091138,0.036563,0.089658,0.183413,0.054919,0.000654,0.243764,8922
9151,4000,0.016852,True,0.096785,0.041060,0.084585,0.192884,0.068613,0.015939,0.260925,9151
9151,4000,0.017278,True,0.085672,0.040977,0.087567,0.157634,0.056508,0.014748,0.245739,9151
9751,4000,0.017087,True,0.090022,0.054322,0.083614,0.153735,0.068418,0.019071,0.271291,9751
9751,4000,0.017524,True,0.085679,0.048826,0.087187,0.137179,0.069525,0.007515,0.268817,9751
9751,4000,0.023382,False,0.099131,0.059685,0.090732,0.169212,0.076896,0.011596,0.298840,9751
9751,4000,0.014350,True,0.089330,0.054960,0.090098,0.147676,0.064586,0.012086,0.274739,9751
9751,4000,0.028566,False,0.099585,0.059989,0.096288,0.183780,0.058283,0.009816,0.284406,9751
9751,4000,0.018694,True,0.091999,0.037378,0.079115,0.184928,0.066573,0.017554,0.246289,9751
10279,4000,0.021915,False,0.101363,0.056140,0.096654,0.192797,0.059859,0.007209,0.283156,10279
10279,4000,0.017015,True,0.097204,0.047178,0.089981,0.185025,0.066633,0.010480,0.271716,10279
10279,4000,0.022569,False,0.088633,0.050487,0.088010,0.153153,0.062881,0.012174,0.265203,10279
10279,4000,0.025017,False,0.095162,0.050706,0.091677,0.173445,0.064819,0.007675,0.274593,10279
10279,4000,0.019259,True,0.108407,0.059650,0.097288,0.203080,0.073610,0.004521,0.306424,10279
10279,4000,0.014172,True,0.102289,0.061650,0.107100,0.160648,0.079756,0.008385,0.324338,10279
10279,4000,0.016462,True,0.097322,0.058733,0.095639,0.165048,0.069871,0.007995,0.294614,10279
10279,4000,0.016199,True,0.085190,0.055722,0.078268,0.146342,0.060429,0.008364,0.255530,10279
10279,4000,0.021775,False,0.094480,0.063972,0.089412,0.165524,0.059009,0.017605,0.279591,10279
10279,4000,0.016785,True,0.087212,0.064905,0.090776,0.134973,0.058193,0.020138,0.278202,10279
10279,4000,0.017368,True,0.093862,0.069884,0.086757,0.163330,0.055478,0.008099,0.278723,10279
10279,4000,0.018893,True,0.095851,0.079588,0.105712,0.143084,0.055023,0.013135,0.311375,10279
10279,4000,0.015971,True,0.100292,0.083680,0.107813,0.143588,0.066086,0.018505,0.332794,10279
10279,4000,0.016112,True,0.086493,0.058273,0.093551,0.134540,0.059609,0.035314,0.275437,10279
10279,4000,0.015945,True,0.089147,0.059314,0.084880,0.150723,0.061669,0.018858,0.270114,10279
10279,4000,0.011901,True,0.076305,0.050837,0.073913,0.127234,0.053236,0.004328,0.233237,10279
10879,4000,0.013836,True,0.077212,0.058151,0.080172,0.117063,0.053463,0.003987,0.249058,10879
11310,4000,0.021271,False,0.091614,0.062466,0.094764,0.152641,0.056584,0.008499,0.280096,11310
11310,4000,0.011134,True,0.085968,0.058630,0.089053,0.136834,0.059356,0.003795,0.270167,11310
11310,4000,0.016567,True,0.089563,0.059950,0.091190,0.148384,0.058726,0.008728,0.274841,11310
11310,4000,0.018705,True,0.089144,0.058079,0.083177,0.160902,0.054417,0.013824,0.258502,11310
11310,4000,0.018800,True,0.097419,0.076549,0.098287,0.153804,0.061037,0.002686,0.307087,11310
11310,4000,0.017320,True,0.090619,0.066083,0.090072,0.142833,0.063487,0.008156,0.286174,11310
11310,4000,0.012721,True,0.093280,0.065256,0.086019,0.163713,0.058131,0.000854,0.275603,11310
11310,4000,0.015799,True,0.091475,0.070230,0.099911,0.142146,0.053614,0.016114,0.291037,11310
11310,4000,0.015046,True,0.100353,0.080238,0.108712,0.159060,0.053403,0.014573,0.315552,11310
11310,4000,0.015874,True,0.081184,0.046398,0.072242,0.147902,0.058194,0.007523,0.234179,11310
11840,4000,0.023955,False,0.096289,0.067734,0.093441,0.170624,0.053357,0.001917,0.282609,11840
11840,4000,0.017060,True,0.093176,0.061314,0.099066,0.154459,0.057864,0.010595,0.285881,11840
11840,4000,0.016308,True,0.089005,0.049393,0.081379,0.173993,0.051254,0.007486,0.243246,11840
12431,4000,0.019771,True,0.095756,0.058727,0.094052,0.167099,0.063144,0.007960,0.284430,12431
12431,4000,0.017691,True,0.099598,0.063839,0.097023,0.180096,0.057432,0.028373,0.288496,12431
12431,4000,0.021784,False,0.092306,0.058111,0.091145,0.163940,0.056029,0.018505,0.270833,12431
12431,4000,0.017320,True,0.094396,0.079900,0.088745,0.154787,0.054152,0.003952,0.290677,12431
12431,4000,0.020528,False,0.103719,0.097959,0.110882,0.151753,0.054282,0.011515,0.339863,12431
12431,4000,0.020427,False,0.092310,0.082409,0.086363,0.143589,0.056881,0.007544,0.292950,12431
12431,4000,0.015744,True,0.087330,0.071623,0.075039,0.148069,0.054589,0.002720,0.263455,12431
12431,4000,0.015988,True,0.092227,0.087393,0.080323,0.144039,0.057153,0.006663,0.291768,12431
12431,4000,0.018515,True,0.092034,0.049340,0.090367,0.161428,0.067001,0.007263,0.272788,12431
12431,4000,0.021781,False,0.087003,0.058373,0.076799,0.143261,0.069580,0.013134,0.267992,12431
12431,4000,0.014479,True,0.084866,0.069812,0.090639,0.120466,0.058545,0.004149,0.282843,12431
12431,4000,0.017817,True,0.095816,0.081549,0.097908,0.139508,0.064299,0.006870,0.315196,12431
12431,4000,0.019992,True,0.088763,0.069867,0.085425,0.149556,0.050202,0.000843,0.269003,12431
12431,4000,0.014178,True,0.086396,0.062507,0.089231,0.145099,0.048746,0.000986,0.262643,12431
12431,4000,0.020710,False,0.085286,0.066385,0.081368,0.142506,0.050883,0.007446,0.259868,12431
12431,4000,0.015647,True,0.091824,0.071729,0.083076,0.157340,0.055151,0.009822,0.275301,12431
12431,4000,0.021501,False,0.089709,0.071073,0.081439,0.152385,0.053941,0.019220,0.270435,12431
12431,4000,0.021879,False,0.091435,0.084116,0.095205,0.129490,0.056930,0.018477,0.304640,12431
12431,4000,0.025876,False,0.097331,0.086204,0.111283,0.143679,0.048159,0.023082,0.317761,12431
12431,4000,0.018119,True,0.099349,0.068805,0.100642,0.170890,0.057057,0.007969,0.297549,12431
12431,4000,0.023950,False,0.115738,0.088217,0.122897,0.189587,0.062252,0.001598,0.357108,12431
12431,4000,0.012478,True,0.106552,0.068443,0.115105,0.161598,0.081062,0.002121,0.344226,12431
12431,4000,0.009889,True,0.089461,0.071384,0.095533,0.141282,0.049647,0.008053,0.281899,12431
12431,4000,0.012846,True,0.085534,0.087453,0.088883,0.111016,0.054784,0.001755,0.296128,12431
12431,4000,0.020383,False,0.084460,0.092971,0.093220,0.103641,0.048010,0.006897,0.298933,12431
12431,4000,0.023322,False,0.099433,0.104398,0.103687,0.136276,0.053369,0.000856,0.335839,12431
12431,4000,0.021101,False,0.087866,0.080232,0.086989,0.133615,0.050628,0.011269,0.282263,12431
12431,4000,0.018570,True,0.101109,0.092143,0.098190,0.152991,0.061111,0.000837,0.325686,12431
12431,4000,0.015025,True,0.098734,0.081243,0.103015,0.153637,0.057039,0.008128,0.313615,12431
12431,4000,0.016151,True,0.093995,0.081483,0.097196,0.147783,0.049519,0.017943,0.296617,12431
12431,4000,0.013116,True,0.086138,0.091714,0.098914,0.102560,0.051365,0.010861,0.308623,12431
12431,4000,0.016216,True,0.083467,0.071458,0.095185,0.116619,0.050605,0.017025,0.280174,12431
12431,4000,0.020764,False,0.084121,0.086834,0.080491,0.116537,0.052621,0.014405,0.282769,12431
12431,4000,0.017871,True,0.098906,0.097862,0.103811,0.138331,0.055621,0.012766,0.331180,12431
12431,4000,0.018508,True,0.092390,0.090952,0.089458,0.135710,0.053441,0.008474,0.301948,12431
12431,4000,0.026737,False,0.107797,0.116775,0.104622,0.146625,0.063168,0.011612,0.365189,12431
12431,4000,0.023079,False,0.103694,0.126917,0.094891,0.142215,0.050753,0.007046,0.349218,12431
12431,4000,0.018600,True,0.101049,0.109524,0.078509,0.160619,0.055545,0.010936,0.315781,12431
12431,4000,0.018539,True,0.100983,0.120951,0.094974,0.132076,0.055932,0.024902,0.347577,12431
12431,4000,0.021295,False,0.094770,0.087525,0.100131,0.137484,0.053941,0.013795,0.311987,12431
12431,4000,0.014142,True,0.097550,0.103190,0.104238,0.129535,0.053238,0.017578,0.334209,12431
12431,4000,0.028857,False,0.103878,0.080851,0.120011,0.166797,0.047853,0.010114,0.324281,12431
12431,4000,0.011400,True,0.086891,0.056685,0.093103,0.153737,0.044041,0.014787,0.255517,12431
12431,4000,0.015557,True,0.097219,0.079886,0.108847,0.156530,0.043613,0.006926,0.302794,12431
12431,4000,0.013734,True,0.097311,0.074786,0.100361,0.158652,0.055446,0.011864,0.301080,12431
12431,4000,0.018538,True,0.084025,0.067083,0.083455,0.128860,0.056704,0.008179,0.269164,12431
12431,4000,0.014825,True,0.083821,0.070730,0.090143,0.128359,0.046051,0.003006,0.268532,12431
12431,4000,0.020022,False,0.096725,0.065098,0.111799,0.145318,0.064685,0.017769,0.313908,12431
12431,4000,0.021198,False,0.103319,0.073525,0.117658,0.157475,0.064618,0.003232,0.332531,12431
12431,4000,0.030655,False,0.099080,0.072560,0.119019,0.146923,0.057820,0.008335,0.323474,12431
12431,4000,0.018029,True,0.104000,0.072803,0.125052,0.164728,0.053417,0.000920,0.327663,12431
12431,4000,0.017030,True,0.100789,0.070682,0.099611,0.164214,0.068647,0.014187,0.312301,12431
12431,4000,0.016504,True,0.101566,0.082222,0.096079,0.158903,0.069061,0.001907,0.321696,12431
12431,4000,0.023056,False,0.096878,0.096609,0.101307,0.127618,0.061977,0.010545,0.333371,12431
12431,4000,0.019180,True,0.099189,0.094322,0.103662,0.134561,0.064212,0.012622,0.337091,12431
12431,4000,0.014986,True,0.096073,0.102363,0.105824,0.122540,0.053564,0.003971,0.334876,12431
12431,4000,0.019034,True,0.083555,0.084534,0.083616,0.115414,0.050655,0.013184,0.281342,12431
12431,4000,0.015837,True,0.085205,0.083146,0.082460,0.125527,0.049686,0.007750,0.278077,12431
12431,4000,0.015147,True,0.089737,0.089800,0.087634,0.118012,0.063503,0.015933,0.309015,12431
12431,4000,0.015950,True,0.083854,0.088944,0.089074,0.107113,0.050284,0.007812,0.292124,12431
12431,4000,0.015915,True,0.085138,0.078446,0.095077,0.123560,0.043470,0.007812,0.280232,12431
12431,4000,0.015932,True,0.082487,0.073912,0.089886,0.122628,0.043522,0.007921,0.268269,12431
12431,4000,0.022121,False,0.088413,0.066728,0.091934,0.144118,0.050872,0.007931,0.273642,12431
12431,4000,0.013245,True,0.079525,0.065513,0.077661,0.127551,0.047376,0.017029,0.248242,12431
12910,4000,0.022270,False,0.084252,0.055757,0.089165,0.143080,0.049008,0.014574,0.254576,12910
12910,4000,0.018542,True,0.083811,0.075052,0.092052,0.115977,0.052163,0.017441,0.282450,12910
12910,4000,0.016420,True,0.100284,0.094922,0.112575,0.135739,0.057902,0.012940,0.341187,12910
